id,part_id,policy_id,attribute_name,extractor_provider,extractor_provider_version,biometric_modality,biometric_sub_types,cr_by,cr_dtimes,upd_by,upd_dtimes
146098,mpartner_default_auth,mpolicy_default_auth,photo,mock,1.1,face,,admin,now(),admin,now()
146099,mpartner_default_auth,mpolicy_default_auth,iris,mock,1.1,iris,,admin,now(),admin,now()
146100,mpartner_default_auth,mpolicy_default_auth,fingerprint,mock,1.1,finger,,admin,now(),admin,now()
146101,mpartner_default_print,mpolicy_default_qrcode,photo,mock,1.1,face,,admin,now(),admin,now()
146102,mpartner_default_print,mpolicy_default_qrcode,iris,mock,1.1,iris,,admin,now(),admin,now()
146103,mpartner_default_print,mpolicy_default_qrcode,fingerprint,mock,1.1,finger,,admin,now(),admin,now()
146104,mpartner_default_print,mpolicy_default_euin,photo,mock,1.1,face,,admin,now(),admin,now()
146105,mpartner_default_print,mpolicy_default_euin,iris,mock,1.1,iris,,admin,now(),admin,now()
146106,mpartner_default_print,mpolicy_default_euin,fingerprint,mock,1.1,finger,,admin,now(),admin,now()
146107,mpartner_default_print,mpolicy_default_reprint,photo,mock,1.1,face,,admin,now(),admin,now()
146108,mpartner_default_print,mpolicy_default_reprint,iris,mock,1.1,iris,,admin,now(),admin,now()
146109,mpartner_default_print,mpolicy_default_reprint,fingerprint,mock,1.1,finger,,admin,now(),admin,now()
